sender_frequency,keyword_score,thread_length,response_deadline_hours,attachment_count,previous_priority_rate,target
3,19.29,4,19.92,4,20.48,0
3,3.52,3,26.49,2,42.86,0
4,28.89,4,3.62,5,79.96,1
4,44.42,2,19.95,2,6.73,0
9,61.48,4,15.21,1,15.1,1
3,84.3,2,26.71,0,94.15,1
1,20.23,2,2.82,2,30.24,0
4,13.3,6,8.6,1,92.8,1
0,95.42,5,3.21,1,21.43,1
2,11.59,3,17.38,1,37.5,0
4,47.89,6,1.0,3,72.76,1
1,58.39,3,8.32,6,64.2,1
5,54.05,1,4.14,2,57.3,1
3,9.43,0,3.9,0,52.69,0
0,6.59,2,10.35,1,80.91,0
4,11.34,2,19.07,2,26.15,0
1,58.39,3,9.4,5,44.82,0
6,54.35,5,19.19,4,18.99,1
3,23.91,1,3.07,1,58.63,0
1,63.5,1,7.33,2,27.55,0
1,81.37,3,5.99,4,35.05,1
0,5.07,3,1.0,3,47.41,0
3,49.82,2,8.14,2,7.41,0
2,68.55,3,10.83,2,13.27,0
4,25.73,2,8.96,2,66.73,0
5,31.16,3,13.33,0,43.61,0
2,61.14,5,8.47,5,82.83,1
5,89.0,2,1.0,3,67.52,1
5,80.37,5,1.24,3,5.73,1
1,58.15,1,9.08,2,60.5,0
0,72.56,0,3.22,5,13.44,0
2,36.75,4,1.0,2,75.28,1
2,63.81,4,5.61,2,94.24,1
2,46.69,5,8.08,2,52.81,1
6,19.61,3,3.99,0,66.45,1
6,69.77,5,12.75,3,26.36,1
5,55.53,0,10.32,4,44.38,1
6,36.14,2,4.05,1,82.05,1
2,90.31,2,14.06,4,20.07,1
6,3.05,2,10.46,3,28.9,0
4,31.95,3,10.15,2,45.09,0
1,6.57,3,8.06,5,69.1,0
4,76.12,5,1.0,3,38.83,1
3,69.81,0,11.92,2,88.5,1
2,33.47,1,4.72,4,13.5,0
3,67.21,3,28.58,2,38.37,0
7,39.8,3,17.04,2,68.81,1
2,75.11,3,8.86,3,25.34,1
3,45.51,2,2.91,5,64.08,1
0,41.4,2,2.28,2,19.78,0
1,92.6,1,4.16,2,10.04,0
1,25.59,1,6.47,2,15.89,0
5,12.8,3,3.51,4,88.7,1
3,58.29,3,7.23,4,54.66,1
2,95.99,2,1.81,1,76.67,1
2,38.03,4,36.0,1,34.94,0
6,7.08,5,1.14,1,58.34,1
2,34.25,3,26.87,0,49.55,0
5,50.58,4,24.49,5,90.12,1
2,16.87,4,7.45,0,72.28,0
4,65.49,4,12.91,3,70.75,1
4,98.78,1,5.73,4,9.17,1
8,45.27,3,9.94,3,54.47,1
0,35.76,4,4.16,1,47.03,0
4,40.27,2,3.58,3,88.51,1
6,12.28,5,8.63,2,28.16,0
2,87.56,3,6.89,2,29.29,1
7,41.65,4,8.66,1,42.02,1
3,38.95,3,3.38,2,26.9,0
3,65.65,0,4.57,3,16.63,0
6,44.32,4,1.0,3,82.17,1
3,64.53,3,1.0,3,55.24,1
4,7.02,1,2.92,1,82.52,0
0,80.74,2,1.0,5,79.8,1
3,93.17,0,1.1,3,30.38,1
5,64.58,3,16.76,2,54.3,1
5,94.55,2,1.0,2,12.49,1
5,15.84,5,10.76,5,87.37,1
1,47.79,1,3.18,3,41.38,0
1,59.98,4,20.52,4,40.43,0
2,58.01,1,6.64,3,32.25,0
4,40.34,6,3.65,5,46.46,1
1,34.13,4,7.29,2,27.66,0
2,13.43,1,4.81,7,38.74,0
1,39.39,3,8.31,4,77.0,1
2,16.94,3,1.22,1,80.08,0
2,72.97,2,36.0,1,32.38,0
3,21.47,3,5.54,2,47.21,0
2,6.74,3,4.28,2,83.64,0
3,55.13,2,12.39,3,9.74,0
4,59.33,3,4.52,3,85.02,1
1,86.45,3,17.91,2,24.73,0
5,57.54,3,6.06,3,66.07,1
3,34.86,4,12.71,3,57.43,0
1,79.7,1,1.14,2,54.76,1
2,53.95,1,18.72,4,82.34,0
4,8.77,1,13.31,2,14.14,0
2,56.45,2,2.38,6,36.23,1
3,89.99,2,1.57,8,53.44,1
3,39.84,1,3.8,2,78.02,1
4,30.04,6,36.0,5,24.48,0
1,15.06,2,2.97,2,77.26,0
1,15.84,5,6.09,5,40.97,0
3,43.41,6,1.0,3,22.0,1
3,59.38,3,5.06,2,73.31,1
5,8.9,3,8.47,3,13.18,0
6,93.08,6,30.6,1,51.33,1
3,75.0,1,7.27,3,10.75,0
2,58.49,5,17.1,0,37.08,0
3,82.19,2,7.92,1,59.1,1
1,8.86,3,1.0,2,55.05,0
1,47.73,2,3.78,2,41.42,0
5,62.75,4,8.57,0,43.61,1
3,82.21,6,30.08,0,25.41,0
6,77.78,3,19.6,3,46.03,1
2,28.15,1,2.59,3,90.79,1
3,93.21,2,2.49,1,81.54,1
1,13.19,4,2.25,3,18.07,0
5,86.76,3,25.57,5,7.68,1
4,96.15,0,19.15,4,89.02,1
4,18.36,3,14.91,0,52.41,0
3,71.76,4,4.99,1,53.41,1
3,4.95,2,7.02,3,75.26,0
5,40.73,5,6.24,3,33.32,1
3,51.6,6,2.92,2,48.37,1
5,57.9,1,7.03,7,92.18,1
3,92.72,0,1.0,1,65.49,1
1,66.88,2,1.41,4,18.84,0
5,48.17,3,21.77,2,16.99,0
3,80.35,5,13.93,3,23.38,1
3,94.15,0,5.5,1,74.0,1
3,3.16,0,7.28,6,31.58,0
6,97.29,3,4.62,5,6.92,1
7,9.44,4,13.5,2,89.98,1
6,80.81,3,15.33,4,20.27,1
1,28.47,3,14.41,0,5.86,0
2,13.95,4,12.82,3,26.34,0
4,44.11,4,2.29,2,26.15,1
3,64.11,6,4.12,4,42.98,1
2,38.33,2,6.35,2,87.84,1
4,6.35,5,4.02,3,84.13,1
1,59.75,1,14.06,6,46.12,0
3,89.44,2,4.0,2,41.98,1
1,38.56,2,1.49,3,54.95,0
3,22.2,4,5.09,2,26.91,0
3,44.37,2,36.0,5,9.7,0
1,5.74,2,2.56,3,89.53,0
2,81.41,3,9.47,3,21.8,1
4,81.98,5,5.67,4,22.86,1
2,58.62,3,1.0,3,47.52,1
5,35.6,3,6.69,8,49.25,1
0,79.38,2,12.11,4,6.66,0
3,55.36,0,7.2,1,18.32,0
2,81.94,4,20.57,3,39.03,1
0,62.88,3,3.41,0,66.54,1
2,77.87,2,1.0,2,25.56,1
2,59.66,3,27.58,2,43.07,0
5,41.59,5,4.75,1,55.16,1
3,94.88,4,8.59,3,84.97,1
1,54.03,4,15.7,3,34.35,0
0,60.3,1,3.92,3,17.02,0
3,22.61,2,12.59,0,49.03,0
3,62.31,1,1.46,3,72.2,1
3,57.02,1,3.44,5,14.89,0
5,19.11,1,1.56,2,43.22,0
5,6.84,4,16.67,1,6.6,0
3,60.23,3,2.52,2,8.02,0
4,75.84,4,12.64,3,48.47,1
1,52.29,3,28.7,5,31.84,0
3,23.22,3,7.5,1,81.06,0
4,66.32,5,7.77,0,59.19,1
4,8.85,2,6.18,2,45.85,0
4,44.3,2,3.94,4,41.71,1
1,17.01,3,6.46,1,49.75,0
2,19.08,1,9.23,5,8.64,0
3,20.82,3,36.0,2,85.35,0
4,38.9,3,27.77,1,94.85,0
4,6.01,4,19.82,2,21.33,0
2,39.98,3,21.99,5,15.83,0
4,51.15,3,6.31,0,17.92,0
2,48.36,6,10.71,4,64.49,1
5,38.51,6,22.54,3,64.53,1
3,83.24,3,4.99,1,81.31,1
4,15.24,3,32.64,2,72.66,0
7,50.56,3,5.37,4,45.47,1
4,7.08,2,9.19,4,60.16,0
5,7.97,3,12.37,1,66.95,0
8,57.24,3,30.08,3,51.15,1
1,56.47,3,2.81,5,47.81,1
2,87.05,1,13.71,1,63.06,1
2,55.67,4,7.36,3,55.17,1
2,95.06,1,3.13,2,62.95,1
6,5.77,3,14.99,2,60.16,0
0,10.6,3,8.03,1,69.73,0
1,5.32,2,10.82,2,62.85,0
7,19.16,5,3.9,3,51.78,1
6,54.04,4,6.56,5,66.36,1
2,64.27,1,9.61,5,45.45,1
2,5.47,1,5.19,2,26.75,0
1,93.71,5,2.21,3,5.13,1
0,83.53,3,32.61,0,55.4,0
4,30.07,1,7.16,4,58.16,0
3,8.56,1,13.24,2,92.48,0
4,17.65,5,5.29,6,37.53,0
6,13.44,3,4.39,2,40.47,0
1,13.08,5,5.23,4,23.16,0
3,51.82,1,5.26,4,11.35,0
7,25.09,0,7.86,2,74.55,1
2,36.1,4,7.84,4,27.47,0
4,97.97,2,6.87,1,59.8,1
2,68.06,2,1.45,1,66.9,1
6,94.0,1,6.85,3,47.41,1
2,14.97,1,1.85,4,83.87,0
2,38.45,1,1.35,2,44.94,0
2,55.36,4,26.98,2,30.64,0
5,8.52,2,9.29,4,85.64,1
6,1.41,1,10.77,2,82.54,0
7,66.7,1,5.14,1,19.76,1
2,63.9,3,23.97,3,7.34,0
2,41.26,3,10.16,0,13.1,0
5,48.99,3,14.66,1,30.79,0
4,41.71,2,4.6,3,92.5,1
3,3.35,4,32.19,3,55.27,0
6,33.87,3,17.17,2,38.59,0
3,18.35,0,19.24,0,84.98,0
2,10.65,2,1.89,4,45.78,0
2,94.76,3,3.16,1,33.37,1
6,59.74,2,3.36,3,89.71,1
0,72.41,3,3.16,1,81.46,1
4,31.91,2,19.34,3,80.93,0
4,39.53,6,1.0,4,51.11,1
3,24.22,7,1.0,2,76.05,1
4,10.5,4,3.2,2,21.14,0
5,18.55,2,2.23,0,56.59,0
4,79.16,2,2.64,3,93.55,1
0,67.4,0,15.99,2,31.19,0
5,54.6,5,8.28,3,76.49,1
6,47.56,2,1.0,2,49.14,1
0,91.4,4,5.61,6,8.58,1
4,8.13,4,5.24,3,73.67,1
2,28.5,3,1.21,1,20.17,0
2,35.29,2,11.27,2,61.83,0
3,77.68,4,12.11,3,12.71,1
1,98.27,5,12.76,5,90.22,1
1,24.59,5,13.04,4,31.26,0
5,86.68,1,1.0,1,25.38,1
0,82.4,3,30.77,0,16.62,0
2,23.02,3,16.83,7,90.14,0
4,40.13,3,23.43,4,69.07,0
1,41.15,3,1.0,1,71.75,1
2,96.87,4,27.16,1,49.95,1
1,18.73,4,16.6,5,47.73,0
1,79.32,3,18.15,7,14.9,0
4,33.75,0,1.0,2,55.39,0
1,72.63,0,13.42,4,27.22,0
2,42.16,3,32.17,2,92.94,0
2,57.68,2,11.35,1,76.69,1
6,82.6,2,8.45,5,42.17,1
7,79.81,4,29.12,6,18.62,1
1,85.91,4,5.85,1,75.68,1
2,6.84,1,9.15,2,15.98,0
4,68.82,7,6.47,0,22.04,1
6,14.72,2,27.01,2,24.04,0
2,41.75,3,1.0,4,55.12,1
0,54.76,6,6.95,2,75.84,1
5,40.47,0,11.61,2,33.29,0
3,51.92,6,15.7,1,12.62,0
7,98.66,3,8.75,3,46.81,1
3,14.25,3,23.96,2,72.33,0
3,67.19,4,28.47,2,24.95,0
3,39.81,4,1.0,1,24.79,0
4,14.03,3,5.15,4,90.25,1
5,16.56,3,1.0,4,90.87,1
4,94.03,1,4.0,3,94.14,1
4,87.2,3,7.7,2,77.69,1
1,89.89,4,24.17,6,21.94,0
4,98.17,2,18.74,2,24.08,1
3,21.41,2,1.36,3,35.62,0
0,35.83,7,1.0,2,33.63,0
7,66.58,3,8.9,5,91.09,1
1,48.41,2,7.6,2,76.02,0
1,42.0,0,3.1,2,70.16,0
1,36.07,1,22.97,5,21.74,0
3,59.19,4,26.22,2,86.86,1
1,57.41,5,5.15,2,79.51,1
3,16.82,2,22.1,6,19.73,0
6,47.23,0,4.84,0,83.41,1
1,55.24,3,13.35,4,29.5,0
3,56.89,2,6.46,0,12.28,0
3,21.59,1,1.31,3,64.11,0
6,73.74,9,26.3,2,63.84,1
3,3.47,2,6.05,3,13.54,0
5,35.77,2,13.26,4,33.7,0
4,77.46,3,4.58,2,94.35,1
7,56.26,3,1.0,8,66.06,1
6,26.59,3,1.06,0,70.71,1
2,69.11,1,6.86,6,24.16,1
3,56.6,2,11.71,3,12.09,0
3,79.03,1,4.08,1,29.92,1
1,73.03,0,11.89,1,27.4,0
5,60.79,2,11.99,2,26.11,0
2,48.84,3,12.17,3,22.35,0
3,14.05,5,6.78,5,56.73,0
6,26.61,3,24.64,0,34.53,0
1,42.07,2,6.72,1,78.83,0
4,59.73,2,5.98,2,21.56,0
2,51.34,6,2.22,3,46.82,1
2,29.24,1,3.68,2,6.23,0
4,1.63,4,1.0,4,48.35,0
3,49.63,4,10.04,3,10.03,0
2,28.99,2,2.86,2,93.0,1
2,72.99,3,3.63,2,76.15,1
5,3.35,0,14.73,3,49.11,0
1,58.31,3,3.96,2,12.79,0
5,93.26,3,2.77,1,58.32,1
5,18.09,2,1.85,3,73.29,1
5,47.22,3,14.91,7,22.16,1
3,9.96,2,1.39,3,56.14,0
3,62.32,2,6.05,2,78.28,1
0,54.95,4,7.07,5,74.14,1
4,40.92,3,11.63,1,77.27,1
3,52.09,3,10.03,1,84.14,1
6,88.86,3,16.65,1,89.39,1
3,20.24,4,1.0,4,41.5,0
1,3.21,4,3.52,2,56.19,0
3,85.44,3,3.29,3,76.16,1
1,57.56,3,1.58,3,67.74,1
1,88.28,3,3.41,2,94.6,1
5,59.5,2,3.71,0,6.23,0
5,80.4,3,7.38,1,36.96,1
2,43.11,4,10.9,2,30.29,0
4,74.49,5,4.8,2,28.61,1
2,90.48,5,12.71,0,25.03,1
5,57.07,1,4.1,0,68.82,1
4,18.72,5,3.43,3,12.63,0
3,27.34,4,7.79,1,71.74,0
5,20.47,2,1.0,6,67.41,1
2,25.19,2,1.0,3,27.57,0
3,31.03,1,5.41,0,27.76,0
5,55.4,3,28.63,3,61.6,0
4,58.62,5,12.78,1,73.6,1
7,42.8,1,1.0,3,83.88,1
3,61.31,2,18.73,2,81.69,1
6,8.99,3,13.18,2,91.84,1
3,9.6,3,9.44,1,57.32,0
2,17.84,3,17.16,5,86.78,0
1,51.77,3,5.18,2,77.77,1
4,21.97,4,2.5,0,85.52,1
3,28.76,4,7.17,3,6.05,0
4,40.23,3,7.96,2,91.93,1
2,80.56,6,7.73,4,47.62,1
2,2.36,4,8.33,2,76.84,0
3,64.64,1,29.7,4,16.45,0
1,66.55,2,23.25,5,40.63,0
2,79.27,2,20.85,1,29.43,0
6,92.41,1,16.17,4,31.25,1
3,2.97,1,28.72,1,16.09,0
2,16.07,5,1.04,3,77.52,1
3,87.84,3,3.08,2,5.83,1
2,45.93,2,6.83,4,33.13,0
2,56.33,2,18.74,1,20.7,0
2,65.98,3,7.04,5,58.01,1
5,67.55,4,13.78,3,27.88,1
3,92.31,1,1.5,1,28.31,1
2,98.7,5,2.91,1,48.95,1
4,71.58,1,13.16,3,63.74,1
7,29.15,4,1.8,4,15.92,1
1,87.22,2,4.33,2,20.8,1
7,5.82,3,3.08,1,27.25,0
3,23.65,4,4.31,2,92.64,1
1,88.94,3,12.32,6,40.74,1
2,26.11,7,4.59,3,58.91,1
1,22.62,2,8.1,4,26.74,0
4,14.54,3,1.05,0,49.14,0
3,85.19,1,16.35,3,11.67,0
3,50.01,1,4.62,2,8.13,0
0,67.14,4,10.46,4,47.19,0
2,24.43,3,12.92,0,40.88,0
3,75.29,0,2.35,3,17.32,1
3,75.48,2,21.6,2,66.88,1
1,31.63,5,9.58,1,94.36,1
8,41.25,4,5.6,3,40.61,1
2,21.55,2,2.01,2,61.21,0
2,96.7,2,28.53,3,91.67,1
4,64.27,3,14.07,2,79.84,1
3,92.59,4,2.33,2,46.72,1
7,30.73,1,4.12,4,71.37,1
4,77.63,3,16.59,3,16.53,1
2,76.05,1,11.9,3,51.09,1
1,68.78,4,14.52,6,30.12,0
5,95.63,2,5.82,2,19.5,1
4,39.57,2,12.6,5,43.37,0
5,13.81,3,4.89,3,16.79,0
0,66.83,2,2.37,0,67.91,1
3,72.47,3,10.02,1,46.06,1
3,57.36,4,36.0,2,52.8,0
3,21.27,2,3.72,4,18.17,0
2,50.44,2,6.18,2,17.58,0
1,31.59,4,11.21,6,57.51,0
4,42.89,2,7.8,3,93.65,1
2,64.23,6,18.54,4,13.66,0
6,74.03,2,14.34,7,30.72,1
2,23.76,1,1.0,3,83.25,0
3,40.72,2,36.0,3,11.5,0
3,27.38,4,13.96,1,83.83,0
6,20.47,2,19.94,3,52.19,0
2,77.77,1,10.53,2,41.74,1
1,90.11,5,19.4,4,32.87,1
5,37.28,3,1.19,4,31.74,1
2,74.63,4,4.27,1,32.52,1
6,88.91,1,20.91,4,84.63,1
3,83.92,2,2.25,4,70.14,1
4,18.92,3,1.0,2,65.28,1
2,94.72,3,15.52,5,76.89,1
0,37.91,2,18.05,1,28.14,0
3,34.25,2,1.78,3,60.62,1
5,7.12,3,19.27,1,46.41,0
3,48.65,6,11.61,2,75.42,1
2,11.68,4,7.34,2,32.83,0
3,25.36,4,17.73,1,62.89,0
4,32.06,1,5.43,0,84.4,1
1,80.26,5,2.16,1,41.19,1
2,86.8,0,3.35,3,11.0,0
4,30.64,5,7.04,5,51.44,1
2,85.15,2,7.58,3,36.14,1
0,85.01,0,16.38,4,65.5,0
2,75.94,2,15.67,1,90.59,1
4,15.38,2,8.71,1,48.7,0
4,68.65,4,15.18,3,46.96,1
4,93.61,3,2.13,5,63.91,1
3,67.89,2,1.0,6,14.31,1
3,33.5,1,20.69,3,27.82,0
1,50.06,2,1.0,1,87.71,1
4,64.28,3,2.83,2,65.29,1
3,51.04,1,11.88,1,6.21,0
2,12.76,7,5.27,2,23.42,0
5,31.58,2,20.9,1,66.46,0
3,79.63,4,3.54,3,73.8,1
3,85.42,3,1.0,0,80.59,1
3,14.46,4,3.58,3,31.3,0
3,94.33,3,8.63,4,88.79,1
7,33.22,3,4.72,3,54.77,1
1,65.91,3,7.65,1,67.69,1
3,74.68,6,20.92,1,58.71,1
5,80.57,3,24.36,4,16.05,0
5,93.68,2,3.09,2,91.68,1
3,31.67,3,6.2,2,16.06,0
5,85.13,2,7.97,1,27.94,1
2,13.91,5,29.78,2,78.23,0
3,70.09,2,36.0,2,60.67,0
2,73.71,3,2.68,3,80.43,1
8,67.42,2,12.98,2,51.42,1
3,25.73,1,4.75,2,38.93,0
4,86.56,2,1.0,4,87.97,1
5,17.55,2,1.0,2,8.26,0
4,6.26,3,6.17,4,82.05,1
3,71.31,1,6.7,0,25.77,0
3,47.6,4,1.0,0,81.39,1
2,84.21,2,11.61,1,17.53,0
7,38.57,2,3.48,3,57.22,1
2,17.49,3,8.21,5,84.93,0
2,82.97,4,3.58,1,47.62,1
4,54.79,3,1.83,2,72.19,1
3,19.54,2,5.23,2,77.42,0
0,71.6,5,2.64,0,71.28,1
7,51.09,3,7.65,0,88.28,1
3,60.22,4,2.22,0,45.22,1
4,46.17,2,7.1,1,20.58,0
3,82.21,5,1.71,2,9.3,1
6,82.3,3,11.12,1,27.18,1
1,70.52,3,14.02,4,17.89,0
6,11.33,3,1.17,6,55.22,1
2,83.21,4,6.31,1,21.65,1
1,66.76,4,1.0,3,8.5,0
3,69.31,3,9.12,2,8.24,0
2,36.57,3,3.07,1,79.84,1
6,87.17,4,7.5,4,58.23,1
2,72.09,3,7.29,1,37.23,1
4,12.03,4,25.82,0,85.48,0
3,40.96,1,7.96,3,11.32,0
7,87.87,2,8.75,1,93.23,1
6,5.63,3,5.14,2,60.47,0
4,95.22,1,29.77,4,21.51,0
6,67.56,2,15.01,3,66.12,1
2,62.87,6,3.36,2,73.7,1
2,27.51,4,18.59,5,43.64,0
1,25.38,2,5.66,2,82.55,0
3,93.32,1,17.64,1,18.57,0
2,30.23,3,17.31,4,30.1,0
1,77.0,5,2.09,4,13.41,1
0,39.53,2,12.08,4,23.98,0
1,14.65,5,3.43,5,26.49,0
1,2.05,3,3.53,3,87.59,0
5,54.34,0,3.51,0,12.03,0
2,96.63,0,12.93,0,43.47,1
6,37.18,3,2.61,4,52.92,1
3,36.0,1,1.0,7,85.88,1
7,34.72,2,12.56,1,94.79,1
1,52.01,3,1.88,0,72.8,1
1,44.19,2,1.1,1,92.37,1
3,87.23,3,2.71,1,75.84,1
2,50.54,3,4.78,3,91.69,1
2,50.76,2,6.46,1,68.65,1
1,14.56,5,1.0,2,12.18,0
5,97.31,1,35.26,2,41.17,0
5,25.5,3,12.59,0,63.19,0
2,8.19,3,3.9,6,36.56,0
1,65.99,3,3.84,1,29.6,0
3,59.35,4,5.95,8,56.97,1
1,41.68,3,9.84,3,89.02,1
6,42.37,2,1.58,3,8.15,1
4,77.94,4,2.09,0,74.23,1
7,20.18,2,19.62,2,70.05,0
4,81.38,1,2.96,1,91.76,1
3,64.58,3,4.78,1,88.76,1
1,42.06,4,20.5,2,73.6,0
3,45.89,0,10.88,1,51.84,0
4,26.15,4,4.18,1,23.38,0
4,74.71,3,11.51,4,54.07,1
1,51.26,4,1.0,4,73.88,1
3,32.44,0,13.3,0,85.61,0
0,59.41,2,6.68,8,76.07,1
2,98.58,6,16.78,2,22.57,1
4,43.66,4,30.93,2,58.97,0
6,91.23,4,26.01,1,34.9,1
4,34.81,1,24.0,2,5.83,0
3,6.36,1,7.18,2,23.02,0
3,21.02,3,4.47,3,15.19,0
1,42.03,3,6.26,0,80.84,0
4,22.52,2,11.71,1,28.27,0
2,1.02,4,21.54,2,30.62,0
6,90.67,3,2.32,3,91.39,1
3,83.7,3,25.03,2,39.12,0
5,73.74,1,16.88,1,5.86,0
4,17.45,3,36.0,3,30.55,0
4,12.8,4,21.22,1,15.74,0
6,7.63,3,3.28,4,14.25,0
3,71.95,2,1.12,7,11.97,1
7,92.02,2,1.19,1,58.39,1
2,43.19,3,3.44,2,22.04,0
4,12.68,1,9.52,5,37.51,0
5,51.21,3,16.31,3,82.58,1
4,35.19,2,22.95,3,43.19,0
3,37.73,0,9.78,4,87.41,1
2,61.89,2,1.0,2,49.81,1
4,71.43,1,2.06,3,40.9,1
5,11.84,1,1.05,3,72.54,1
4,4.49,2,4.51,2,11.59,0
1,98.44,4,6.96,5,13.05,1
2,23.81,3,1.0,6,63.68,1
1,6.28,4,4.28,4,48.82,0
4,19.61,2,1.97,1,76.14,1
1,4.82,3,10.41,3,87.46,0
3,39.4,5,6.24,1,39.95,0
1,79.64,4,6.84,3,58.68,1
2,34.44,0,5.58,1,50.06,0
6,44.53,3,31.24,3,93.34,1
5,67.21,3,2.42,2,79.8,1
5,50.87,4,7.27,2,87.06,1
6,85.42,4,13.32,1,27.89,1
2,85.87,2,8.14,4,74.53,1
2,1.97,3,26.45,5,28.89,0
1,77.25,3,4.75,1,23.79,0
2,46.15,5,6.23,1,89.98,1
1,97.91,2,1.0,3,6.74,1
2,48.36,2,9.39,4,91.88,1
1,97.72,0,3.4,4,18.43,1
3,74.95,4,1.75,4,78.75,1
3,25.36,4,7.86,1,29.83,0
6,53.76,1,7.6,1,36.56,1
5,98.23,4,1.0,3,24.51,1
6,85.04,2,11.98,4,57.7,1
1,10.54,1,9.78,2,36.33,0
2,70.22,3,2.1,0,64.17,1
4,34.87,5,6.34,1,6.41,0
2,1.68,4,12.74,2,10.79,0
1,40.54,5,7.54,3,13.97,0
4,24.01,4,5.03,0,42.71,0
4,81.25,1,3.89,1,78.33,1
1,34.06,2,9.43,3,84.94,0
4,82.1,1,27.99,4,27.03,0
3,1.06,4,11.14,3,56.69,0
1,31.17,2,1.0,3,74.15,0
2,24.63,2,6.17,2,30.99,0
1,23.89,3,22.15,3,41.81,0
2,7.68,4,1.0,0,52.16,0
2,19.34,2,36.0,4,17.14,0
3,55.44,3,29.77,3,7.34,0
5,29.55,4,1.0,3,18.75,0
4,41.9,2,27.09,2,61.42,0
3,37.93,1,4.51,2,11.63,0
0,86.84,3,18.62,0,22.07,0
4,89.72,5,5.42,0,35.41,1
0,49.31,2,5.81,3,12.01,0
4,33.36,6,10.06,6,22.25,0
5,11.47,3,14.89,1,87.01,0
1,94.43,2,1.0,1,6.74,1
4,6.9,0,8.99,0,63.81,0
6,30.17,3,2.07,2,39.6,1
2,30.21,2,4.25,2,65.54,0
3,32.4,2,4.28,4,57.98,1
3,17.1,1,6.33,3,25.11,0
4,77.75,1,4.07,3,81.25,1
3,13.0,6,1.14,0,49.27,0
1,63.22,4,1.57,2,79.03,1
2,13.14,5,1.0,1,41.54,0
5,7.91,6,6.35,1,93.62,1
4,90.12,0,30.89,7,74.34,1
1,19.63,4,1.23,5,91.94,1
2,81.48,3,29.24,1,51.29,0
6,54.37,1,13.22,1,47.63,1
7,8.63,5,10.15,2,72.99,1
3,94.63,4,10.36,1,84.23,1
7,25.2,2,17.53,4,91.77,1
4,85.25,0,1.13,3,34.21,1
3,17.54,4,7.03,3,76.88,1
0,84.69,2,11.94,3,23.96,0
0,2.3,2,8.84,0,54.1,0
4,51.15,5,17.88,3,21.19,0
3,76.41,3,1.0,3,36.27,1
1,92.61,4,11.73,1,88.82,1
2,90.1,0,7.64,5,18.15,1
4,81.32,2,4.77,3,61.92,1
7,88.04,3,4.16,3,58.37,1
3,20.52,3,9.7,2,15.87,0
2,28.85,2,22.16,1,34.34,0
3,29.32,3,6.86,3,55.67,0
0,37.95,2,17.41,3,21.85,0
0,39.55,2,5.14,2,77.06,0
4,54.37,4,1.08,5,92.49,1
4,16.67,4,1.0,2,24.33,0
7,68.74,1,1.0,2,21.82,1
2,17.42,4,4.78,4,45.94,0
